index,Participant_ID,Round,InfoOrderGroup,Context,CausalScore,BonusScore,Is_Human,ST_Outcome,End_Outcome,TakesAction,MotivatedByEndOutcome,Is_Pivotal,DummyText,Time_Agent,Time_Action,Time_Incentive,Time_Pivotal,Time_ST_Outcome,Time_Dummy,Time_EndOutcome,Views_Agent,Views_Action,Views_Incentive,Views_Pivotal,Views_ST_Outcome,Views_Dummy,Views_EndOutcome,ContextIsFootball,InfoOrderB,InfoOrderC,Time_Action_md,Time_Agent_md,Time_Incentive_md,Time_Pivotal_md,Time_ST_Outcome_md,Time_Dummy_md,Time_EndOutcome_md,Is_SouthAfrican,CorrectNumeracy,PostGraduateDegree
1,2,1,B,Business,5,-1.0,1,0,0,0,1,1,1,1350.0,5900.0,3014.0,1349.0,4767.0,1017.0,4265.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,1871.6430288461538,-1142.746394230769,406.3100961538462,-1268.5240384615386,3075.3846153846152,-324.9495192307693,1942.1177884615386,0.0,0.0,1.0
15,16,1,A,Business,6,10.0,0,1,1,1,0,0,1,2226.0,1642.0,2260.0,1740.0,1132.0,3075.0,1926.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-2386.356971153846,-266.74639423076906,-347.6899038461538,-877.5240384615386,-559.6153846153845,1733.0504807692307,-396.88221153846143,0.0,0.0,0.0
23,24,1,C,Business,6,1.0,1,1,1,0,1,1,1,1433.0,3251.0,2532.0,1067.0,916.0,1266.0,1467.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-777.3569711538462,-1059.746394230769,-75.68990384615381,-1550.5240384615386,-775.6153846153845,-75.94951923076928,-855.8822115384614,0.0,0.0,0.0
24,25,1,A,Football,5,0.0,1,0,0,1,0,0,0,1633.0,1782.0,2318.0,5217.0,4984.0,2933.0,2551.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,3.96875,-569.7295673076924,-32.06490384615381,3347.3209134615386,1841.5540865384614,1418.0877403846155,585.0985576923076,1.0,0.0,1.0
25,26,1,B,Business,1,0.0,1,1,1,0,0,0,1,1069.0,6015.0,1666.0,867.0,1049.0,1282.0,1033.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1986.6430288461538,-1423.746394230769,-941.6899038461538,-1750.5240384615386,-642.6153846153845,-59.94951923076928,-1289.8822115384614,0.0,1.0,0.0
26,27,1,C,Football,2,0.0,0,1,1,0,0,1,0,1374.0,1679.0,2504.0,1529.0,6454.0,2926.0,3322.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-99.03125,-828.7295673076924,153.9350961538462,-340.67908653846143,3311.5540865384614,1411.0877403846155,1356.0985576923076,0.0,0.0,0.0
27,28,1,A,Business,6,10.0,1,1,1,1,0,0,1,1165.0,1734.0,1101.0,749.0,765.0,2234.0,1816.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,-2294.356971153846,-1327.746394230769,-1506.6899038461538,-1868.5240384615386,-926.6153846153845,892.0504807692307,-506.88221153846143,0.0,1.0,1.0
31,32,1,B,Business,4,1.0,0,1,0,0,0,0,1,1434.0,4255.0,3616.0,1400.0,3519.0,1088.0,2301.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,226.6430288461538,-1058.746394230769,1008.3100961538462,-1217.5240384615386,1827.3846153846155,-253.94951923076928,-21.882211538461434,0.0,1.0,0.0
32,33,1,C,Football,2,0.0,0,0,0,1,0,0,0,1411.0,1384.0,1934.0,2284.0,1716.0,883.0,1468.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,-394.03125,-791.7295673076924,-416.0649038461538,414.32091346153857,-1426.4459134615386,-631.9122596153845,-497.9014423076924,0.0,1.0,1.0
33,34,1,A,Business,6,-1.0,0,0,0,1,1,1,1,2427.0,3960.0,2892.0,4057.0,1087.0,1670.0,2233.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,-68.35697115384619,-65.74639423076906,284.3100961538462,1439.4759615384614,-604.6153846153845,328.0504807692307,-89.88221153846143,0.0,1.0,1.0
36,37,1,A,Business,6,-1.0,1,0,0,0,1,1,0,3438.0,625.0,1751.0,765.0,1168.0,1369.0,1932.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,-3403.356971153846,945.253605769231,-856.6899038461538,-1852.5240384615386,-523.6153846153845,27.050480769230717,-390.88221153846143,1.0,0.0,0.0
